,Age,Gender,Country,WorkHoursPerWeek,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,WorkLifeBalanceScore,BurnoutRisk
746,38,1,2,33,4.72,9.45,7.43,6.4,9.0,6.8,107,0,3.0,0,8,6.55,0
747,34,1,4,51,2.25,9.89,1.93,9.41,8.4,2.9,78,0,7.44,1,5,1.45,0
748,41,3,3,31,5.57,7.87,2.45,3.15,7.7,4.4,58,0,2.62,0,1,2.27,0
749,46,2,4,57,6.99,6.16,5.52,2.37,6.4,8.1,26,0,4.59,0,4,4.94,0
750,25,3,1,47,8.07,7.81,9.32,8.83,4.4,3.3,57,0,3.63,1,2,8.39,1
751,31,2,3,31,7.4,3.46,3.23,9.48,7.7,1.7,60,1,2.52,0,5,7.6,1
752,24,0,0,54,2.33,3.55,8.43,5.39,6.0,3.8,82,0,6.22,0,4,9.77,0
753,39,2,2,44,5.1,6.89,3.81,2.04,6.9,0.7,117,0,4.36,1,9,1.4,0
754,57,3,0,59,1.35,8.85,3.43,5.37,5.5,7.2,78,0,5.16,0,0,4.43,0
755,43,3,1,55,1.16,9.73,9.11,1.98,5.2,1.5,108,1,2.76,0,9,2.43,0
756,55,3,5,48,4.96,4.07,1.43,8.95,5.6,2.9,70,1,7.91,0,9,1.33,0
757,29,0,0,44,3.28,8.17,6.95,7.37,8.1,8.8,42,1,3.83,1,1,3.38,0
758,40,2,0,55,7.15,8.66,1.39,3.17,6.1,5.4,103,1,4.08,1,4,3.2,1
759,58,2,5,49,7.52,6.61,8.21,8.98,5.6,3.2,115,1,3.27,0,5,4.78,1
760,27,3,3,39,9.06,4.13,8.46,6.74,6.2,5.5,79,1,4.91,0,0,2.26,1
761,47,2,5,57,7.85,6.57,9.04,9.58,4.2,2.2,87,0,5.17,1,6,5.4,1
762,55,1,2,53,1.43,6.26,2.67,9.82,8.5,0.3,86,1,5.77,0,2,9.28,0
763,27,1,0,49,4.34,6.46,2.12,1.03,6.8,6.0,10,0,9.71,0,0,7.73,0
764,58,1,5,40,3.46,6.57,5.53,2.08,4.5,7.1,87,0,9.14,1,6,8.58,0
765,54,2,1,55,4.48,8.62,3.44,5.92,5.4,8.8,4,0,6.48,1,6,8.24,0
766,43,0,1,39,2.44,2.53,6.46,9.6,8.9,7.7,57,1,1.35,1,9,4.51,0
767,42,0,0,58,1.88,4.31,5.62,9.95,7.0,9.3,38,0,6.51,0,2,7.38,0
768,27,0,2,52,5.69,6.27,2.3,6.11,5.5,9.9,47,0,1.81,0,5,7.79,0
769,27,0,4,34,7.48,3.55,7.65,2.56,6.1,7.4,93,1,7.39,1,3,2.85,1
770,25,1,2,38,7.32,9.8,8.23,2.47,5.3,8.7,79,1,4.51,0,3,8.74,1
771,51,1,6,49,5.06,3.37,9.67,7.87,4.2,6.7,19,0,8.54,0,8,5.12,0
772,32,3,6,48,5.7,5.23,4.56,6.33,8.2,1.7,92,1,9.48,0,6,1.15,0
773,51,2,6,42,5.65,8.9,4.04,5.94,5.5,1.8,80,1,4.75,0,5,6.79,0
774,52,2,0,47,7.22,1.72,2.73,5.19,8.2,1.1,18,0,5.14,1,8,7.09,1
775,45,0,1,46,1.43,8.39,2.63,7.53,6.4,9.4,59,0,6.31,0,2,5.97,0
776,30,1,3,56,7.39,6.14,3.89,8.72,4.9,6.7,25,0,2.77,1,3,2.91,1
777,24,0,1,35,6.24,1.29,9.84,3.73,8.0,7.9,78,0,9.35,0,8,5.34,0
778,52,3,3,39,2.78,9.13,1.83,2.99,5.9,3.3,24,0,4.9,1,3,4.6,0
779,58,2,3,31,1.44,1.35,3.33,7.03,7.5,4.6,14,0,2.5,1,6,9.77,0
780,57,2,1,53,1.98,5.64,1.77,9.23,8.2,0.4,83,0,7.86,0,8,8.42,0
781,45,0,0,35,5.72,1.44,3.46,4.13,8.8,8.9,93,0,2.97,1,3,7.86,0
782,52,3,2,57,7.83,1.64,1.83,3.45,4.4,8.5,20,1,2.29,0,8,2.63,1
783,27,2,3,57,4.01,8.98,5.57,3.04,4.0,7.8,46,1,6.07,0,6,3.98,0
784,23,3,4,50,4.41,7.89,4.95,3.29,6.7,0.6,34,1,7.04,1,3,4.42,0
785,41,3,1,42,9.41,2.77,2.57,2.21,5.3,1.7,43,1,6.13,1,2,5.43,1
786,49,0,1,47,2.92,6.58,2.57,6.37,6.3,3.3,5,1,6.91,1,5,1.27,0
787,32,1,6,36,1.93,8.15,6.63,3.53,4.4,2.6,115,0,2.04,1,2,6.34,0
788,25,0,2,31,4.09,9.01,4.48,6.53,6.5,8.4,100,1,5.28,0,6,4.22,0
789,36,1,6,58,7.71,5.21,1.51,1.75,4.6,1.9,74,1,4.21,0,0,6.06,1
790,27,3,1,43,6.63,9.08,9.28,2.04,8.2,5.3,22,0,9.76,1,6,1.08,0
791,51,1,1,34,4.74,5.57,4.64,5.83,7.8,5.7,107,1,1.45,1,2,3.89,0
792,59,3,3,47,9.68,7.19,6.32,5.6,4.4,4.3,38,0,3.68,1,8,7.92,1
793,23,2,2,40,7.61,9.81,8.97,3.44,8.2,2.4,72,1,9.48,0,5,5.51,1
794,36,2,5,39,1.56,3.12,4.62,8.44,5.6,9.6,17,1,9.85,1,6,8.1,0
795,32,2,4,40,7.7,2.52,8.39,2.68,5.8,4.1,109,0,8.42,0,8,7.29,1
796,29,0,3,56,1.22,4.08,9.23,4.25,4.9,7.3,99,1,1.68,0,5,8.69,0
797,47,0,1,31,6.85,2.48,2.57,6.0,8.2,1.8,39,1,6.05,1,9,1.07,0
798,26,3,3,44,2.89,3.56,9.03,8.8,6.0,8.2,111,1,4.6,0,1,3.35,0
799,27,2,4,36,7.27,7.69,2.08,4.77,4.2,2.2,35,0,8.26,0,5,5.94,1
800,47,0,1,38,3.79,5.3,3.48,4.59,8.8,6.8,27,0,1.5,0,5,9.47,0
801,25,2,4,34,8.86,4.38,8.27,6.22,5.3,5.1,63,0,2.77,1,1,7.12,1
802,40,0,5,36,4.03,4.32,9.11,3.85,8.7,1.5,82,0,5.4,1,6,5.11,0
803,41,1,3,49,6.58,2.75,7.16,7.38,5.5,0.2,93,0,2.42,0,8,2.17,0
804,54,1,0,31,3.57,5.03,1.94,3.24,8.2,9.3,57,1,7.23,1,9,5.44,0
805,41,2,3,32,9.25,6.62,5.71,8.41,7.3,1.3,37,1,8.39,0,3,4.97,1
806,33,3,6,31,8.03,2.25,6.15,3.45,8.3,7.0,114,0,7.34,1,4,8.01,1
807,22,0,2,50,3.19,9.76,3.54,9.93,8.9,6.5,78,0,4.96,0,5,4.72,0
808,47,0,2,51,9.54,4.99,9.92,3.85,8.4,3.4,43,1,8.91,1,0,3.87,1
809,35,1,6,52,4.21,9.53,4.02,8.91,6.0,1.9,75,0,2.24,1,7,1.81,0
810,59,1,1,48,6.87,2.21,2.89,4.58,8.1,1.8,1,1,3.34,0,8,1.42,0
811,58,3,2,33,7.69,7.9,1.99,3.21,7.6,5.9,72,0,5.41,1,0,4.95,1
812,32,3,4,53,1.21,6.56,4.41,3.04,4.3,5.5,34,0,1.55,0,3,4.12,0
813,57,3,2,49,9.63,8.38,7.23,8.65,8.6,8.8,0,1,1.86,1,5,6.0,1
814,34,2,2,36,4.1,6.41,3.08,3.78,6.3,6.4,45,1,4.58,1,9,7.41,0
815,24,1,6,57,2.71,9.67,7.93,4.05,4.7,8.2,59,0,9.49,1,0,1.36,0
816,54,2,1,51,8.66,6.64,2.22,2.77,6.1,0.3,62,0,9.18,1,2,5.47,1
817,27,1,5,36,7.33,8.06,4.96,9.65,7.0,6.7,94,1,5.19,0,6,8.76,1
818,31,1,2,46,1.78,8.9,7.32,3.2,6.9,2.3,91,1,2.28,0,7,5.1,0
819,26,0,0,48,2.05,7.43,2.22,3.23,6.9,2.5,44,0,2.6,0,7,5.69,0
820,44,1,2,51,7.44,5.72,6.38,9.5,5.3,7.2,56,1,4.4,0,4,5.38,1
821,31,1,5,45,1.67,3.46,8.19,9.11,7.2,7.9,36,0,2.89,1,0,4.51,0
822,23,2,6,32,9.25,8.69,6.36,3.24,8.5,3.7,6,0,1.75,1,0,1.99,1
823,34,1,5,44,7.67,5.33,5.6,8.78,5.9,7.9,109,0,7.06,0,7,2.14,1
824,23,2,6,43,4.02,6.59,8.54,3.25,7.2,4.4,15,0,6.23,0,4,2.61,0
825,41,3,4,44,4.27,1.71,9.87,1.76,5.2,8.6,49,0,3.62,0,8,8.13,0
826,22,1,6,43,5.56,5.48,2.63,8.38,4.2,0.2,13,0,8.01,0,0,3.48,0
827,58,1,4,36,4.25,7.28,7.22,7.94,6.9,0.8,96,0,7.98,1,1,9.53,0
828,30,2,4,54,8.05,6.26,1.73,3.65,4.2,7.8,5,1,5.42,0,3,8.29,1
829,38,3,6,32,9.77,5.04,1.39,1.81,7.6,6.2,60,1,1.87,1,9,7.16,1
830,30,0,0,59,6.26,3.01,3.53,2.86,7.4,5.6,20,0,9.27,1,6,7.48,0
831,32,3,3,46,5.01,3.79,9.74,7.94,5.8,6.1,9,1,7.02,1,3,1.43,0
832,36,2,6,39,3.0,7.31,5.97,9.68,6.1,9.3,31,0,3.22,1,7,6.12,0
833,45,3,2,44,6.88,3.02,3.41,3.33,8.6,6.6,5,0,6.49,1,6,9.47,0
834,59,2,0,58,7.17,6.6,2.19,8.36,4.1,6.5,1,1,4.65,1,4,1.35,1
835,56,2,0,35,7.17,6.31,9.28,3.05,6.8,7.6,38,1,6.72,1,6,3.62,1
836,51,0,2,57,1.24,9.73,4.26,7.12,8.6,8.7,48,0,5.26,0,7,1.46,0
837,52,1,3,46,9.09,1.55,3.76,1.75,8.6,2.6,26,1,5.37,0,2,6.13,1
838,26,2,0,46,4.04,1.97,8.72,6.27,6.9,6.2,55,0,7.62,1,2,2.05,0
839,35,2,4,43,7.7,5.55,6.44,3.42,5.9,5.8,13,1,6.52,0,1,5.31,1
840,32,0,3,53,7.84,5.74,2.52,9.33,4.5,1.3,22,0,1.72,1,3,7.48,1
841,30,2,1,54,6.85,1.36,4.79,3.61,4.9,5.2,102,0,1.59,0,3,2.48,0
842,55,1,2,47,4.55,8.43,9.35,4.59,7.4,0.7,117,0,3.75,0,3,7.8,0
843,33,0,3,54,6.48,5.45,9.11,8.57,4.1,1.8,84,1,4.87,0,1,1.54,0
844,56,1,6,34,1.36,4.12,1.63,4.94,8.4,9.1,104,0,3.48,0,6,2.35,0
845,56,1,3,58,7.86,3.87,3.42,3.15,6.9,1.2,50,0,6.86,0,9,3.52,1
846,22,0,4,37,1.9,8.75,2.39,5.93,4.2,5.8,93,1,2.76,0,2,8.16,0
847,43,2,6,36,4.57,2.77,5.8,8.56,5.2,3.2,24,1,7.34,0,9,8.65,0
848,50,1,5,52,1.93,2.44,7.75,4.9,7.0,5.6,52,0,7.96,0,0,2.98,0
849,29,1,2,33,8.53,2.92,3.66,2.2,4.2,2.3,87,1,2.12,1,1,1.86,1
850,32,1,2,47,5.95,6.63,7.82,4.45,7.9,4.4,10,0,6.86,1,4,8.63,0
851,58,1,3,34,7.22,8.3,7.02,9.59,8.6,8.7,34,0,9.65,1,8,6.84,1
852,35,0,0,45,7.14,3.98,7.55,1.65,8.8,3.8,54,0,2.74,0,3,2.42,1
853,51,0,6,43,8.57,2.56,9.53,4.68,7.7,3.5,57,1,9.18,1,5,6.02,1
854,56,3,5,56,2.19,2.88,4.82,6.83,8.3,4.5,67,1,6.45,1,2,8.85,0
855,42,3,6,56,6.94,6.57,4.08,1.71,7.1,1.0,36,1,6.32,0,8,1.63,0
856,58,1,2,48,6.18,3.21,7.15,4.1,6.3,3.9,99,0,1.47,1,1,1.75,0
857,26,2,6,43,1.28,8.9,8.27,9.47,7.6,0.1,76,0,7.73,1,7,3.46,0
858,40,1,5,38,2.81,1.94,2.72,1.28,5.1,5.0,8,0,5.3,0,2,6.87,0
859,35,2,0,35,3.41,1.29,8.62,7.77,4.5,8.5,27,1,7.49,0,7,2.6,0
860,47,1,3,46,1.65,1.8,1.52,8.57,7.8,5.5,54,1,8.28,1,2,8.35,0
861,25,3,4,48,4.19,8.61,1.06,3.49,8.8,6.1,45,0,5.71,0,3,7.75,0
862,46,3,6,41,1.24,6.86,2.43,2.93,6.9,0.3,79,1,3.37,0,7,6.05,0
863,46,2,4,33,5.98,9.62,9.81,9.23,6.4,8.6,117,1,2.27,1,9,2.04,0
864,39,1,2,45,2.9,4.03,5.71,7.88,6.7,3.9,69,1,2.44,0,3,9.89,0
865,29,2,3,54,3.58,2.91,1.42,2.02,6.4,9.7,26,1,8.8,1,8,5.41,0
866,35,3,1,40,9.19,6.06,9.97,2.91,6.2,1.2,9,0,2.11,0,8,5.07,1
867,53,1,3,51,5.53,5.84,7.7,6.59,8.7,9.4,22,0,4.46,0,5,9.96,0
868,59,1,6,33,3.42,6.32,8.54,4.77,6.4,6.3,20,0,4.01,1,0,8.77,0
869,54,2,0,46,6.39,4.13,2.92,5.54,4.4,0.5,89,1,8.79,0,8,5.11,0
870,44,0,3,37,2.82,1.05,1.95,9.56,7.8,9.7,44,1,5.3,0,8,4.77,0
871,36,2,6,43,1.67,1.32,5.64,4.78,6.0,0.1,2,1,9.97,1,6,1.86,0
872,54,3,6,56,1.19,6.97,7.95,8.94,7.6,7.3,58,0,7.63,0,8,9.34,0
873,46,3,4,31,9.56,5.71,6.74,6.95,6.9,8.9,42,1,8.66,0,7,8.59,1
874,38,3,3,40,7.52,8.39,6.68,2.09,7.6,1.8,98,0,1.89,0,8,3.79,1
875,54,3,6,40,8.2,3.7,7.81,7.7,4.3,3.4,6,0,3.28,0,8,7.78,1
876,23,3,4,53,9.83,8.34,3.04,5.68,4.2,5.6,26,0,2.22,1,6,7.86,1
877,35,0,5,51,9.38,4.83,6.95,3.03,5.9,6.8,61,1,5.17,0,5,3.05,1
878,27,1,1,53,7.63,1.87,4.53,3.61,7.5,8.7,41,0,7.46,0,1,6.52,1
879,27,2,4,35,7.25,9.8,1.63,6.02,5.1,7.6,96,0,2.52,0,6,3.3,1
880,24,2,4,50,4.03,5.61,2.82,6.42,6.2,3.6,3,1,2.17,0,0,8.11,0
881,28,3,6,50,1.94,6.67,8.15,9.71,8.9,8.2,89,0,6.53,0,5,2.38,0
882,29,2,2,43,6.16,7.04,9.06,8.69,5.1,9.7,61,1,3.07,1,5,7.02,0
883,36,3,2,59,6.19,4.26,3.55,2.85,8.2,2.3,7,0,5.31,0,6,3.93,0
884,50,0,0,39,9.57,7.73,2.71,7.97,8.1,0.7,83,1,1.46,1,1,1.33,1
885,54,0,2,55,4.98,8.83,1.24,1.07,8.5,4.3,16,0,7.13,1,3,2.11,0
886,51,1,4,56,7.22,4.48,9.53,2.17,8.6,8.8,4,0,5.87,1,1,6.89,1
887,48,0,0,37,6.17,6.91,7.15,2.8,6.5,1.5,62,0,6.83,1,3,3.16,0
888,57,0,6,36,2.59,7.81,9.61,6.37,7.4,8.9,112,1,3.48,0,2,6.68,0
889,50,1,3,37,6.33,2.71,8.77,2.75,7.1,9.9,8,1,3.51,1,1,4.73,0
890,59,2,1,57,5.86,3.99,4.06,4.29,5.5,0.5,7,1,8.21,0,1,7.23,0
891,54,3,1,37,5.45,1.98,2.01,3.19,5.4,5.0,6,0,7.47,0,2,5.44,0
892,58,3,4,52,5.62,6.42,5.49,4.04,5.7,3.3,36,1,6.22,1,9,3.78,0
893,48,2,4,31,2.48,8.21,1.24,9.48,5.1,3.9,99,1,6.65,1,3,2.31,0
894,54,1,0,56,5.17,6.5,2.35,9.98,7.8,4.5,54,1,1.85,0,6,4.07,0
895,25,2,6,45,6.45,2.62,3.1,7.17,8.8,7.4,66,1,8.71,1,3,6.71,0
896,43,0,5,38,5.41,5.92,6.99,6.15,8.3,5.9,7,0,7.93,0,6,7.66,0
897,23,1,4,42,5.4,8.51,5.59,7.38,5.1,9.6,68,0,6.31,1,3,2.44,0
898,31,1,5,52,1.7,3.72,3.72,7.94,4.3,3.3,4,0,9.27,0,2,6.98,0
899,26,1,5,41,2.72,8.49,6.08,7.65,7.8,5.4,16,0,2.52,0,7,2.61,0
900,31,3,2,56,3.89,8.06,2.13,1.74,6.0,8.1,110,0,7.18,1,2,3.0,0
901,54,2,6,51,4.77,1.2,7.8,3.79,8.1,3.7,57,0,9.67,1,7,5.78,0
902,59,1,1,54,6.35,3.16,7.41,4.09,7.9,4.7,62,1,3.79,1,1,3.6,0
903,34,1,1,58,8.77,5.89,2.95,4.32,7.1,6.8,26,0,1.14,1,2,6.95,1
904,52,1,5,46,2.43,7.46,6.46,4.1,5.3,8.6,103,1,7.61,0,3,9.6,0
905,57,2,1,56,1.14,8.92,5.53,8.08,4.5,4.2,102,0,1.06,1,2,2.34,0
906,45,3,6,31,5.04,6.77,1.55,7.73,5.3,5.3,112,1,8.85,0,5,6.13,0
907,36,0,2,42,4.89,4.42,3.5,1.04,6.5,9.8,75,0,1.51,0,8,9.31,0
908,50,3,6,30,5.97,2.66,10.0,3.67,8.9,0.4,91,0,6.87,0,9,2.59,0
909,29,1,4,55,8.5,7.84,1.9,6.61,4.3,4.5,67,0,4.39,0,7,4.3,1
910,26,3,5,57,8.22,2.86,5.56,2.08,5.0,6.4,115,0,2.83,1,3,2.11,1
911,50,3,6,48,1.9,7.26,8.64,1.64,7.1,0.1,27,1,9.08,1,1,6.78,0
912,25,0,1,40,9.41,2.63,3.71,8.46,5.5,6.0,88,1,7.72,0,9,7.02,1
913,33,2,3,34,1.99,1.82,3.35,5.07,8.3,0.6,57,0,4.06,0,0,6.98,0
914,23,2,6,30,6.71,3.26,9.02,8.7,4.7,8.6,49,0,3.56,1,3,5.88,0
915,48,3,5,49,7.05,3.56,3.74,8.41,8.8,8.1,99,1,7.62,1,4,7.72,1
916,52,3,2,59,7.12,6.82,6.86,9.04,8.6,0.3,105,0,8.53,0,1,1.32,1
917,57,2,1,42,3.39,2.45,7.66,1.43,8.4,0.5,66,0,7.44,0,2,9.62,0
918,57,2,2,37,3.97,9.37,8.1,2.68,4.9,7.5,30,1,6.76,0,3,3.0,0
919,47,0,5,35,5.94,5.99,9.95,3.67,5.6,3.7,100,1,3.05,1,2,2.09,0
920,48,1,1,58,2.8,5.42,8.23,2.23,8.0,5.8,11,1,8.68,1,7,9.47,0
921,26,3,4,46,1.18,4.91,6.91,5.37,8.0,2.7,54,1,7.75,1,1,8.47,0
922,41,2,1,41,6.06,6.1,9.06,8.19,7.5,1.7,100,0,5.66,0,8,7.88,0
923,32,3,4,30,5.19,1.2,9.15,9.56,6.2,3.0,100,0,5.6,1,5,1.94,0
924,31,3,2,32,6.91,9.91,9.76,9.01,5.6,2.5,3,0,6.12,0,0,8.27,0
925,59,2,2,43,2.32,6.02,7.99,5.12,8.8,4.5,93,0,8.45,1,7,6.48,0
926,27,0,5,55,8.57,1.32,2.75,6.73,4.7,7.5,101,1,7.68,0,9,7.59,1
927,29,3,4,37,2.32,6.31,7.39,3.08,4.2,5.5,41,0,8.71,1,5,9.8,0
928,44,0,2,40,9.02,4.93,1.68,4.63,4.0,6.1,101,0,5.57,0,3,2.75,1
929,47,2,4,56,5.05,1.22,3.86,8.84,7.9,4.7,90,1,6.62,0,5,5.54,0
930,33,1,2,43,5.95,9.32,2.04,1.26,4.3,3.2,53,0,8.69,0,1,7.78,0
931,47,1,1,37,9.07,1.1,9.55,5.79,6.7,1.4,21,1,3.09,1,0,4.9,1
932,34,3,6,58,3.7,6.2,4.05,8.86,5.8,3.5,0,1,5.0,1,5,1.49,0
933,39,2,3,32,2.64,9.66,7.42,2.1,4.7,6.7,47,1,6.59,0,7,2.0,0
934,46,0,1,36,5.01,3.14,6.14,9.84,7.7,7.3,42,1,9.24,0,4,6.42,0
935,54,3,0,57,3.2,3.29,1.97,1.11,4.3,4.7,101,1,1.14,0,7,3.57,0
936,33,2,6,48,5.75,1.0,6.05,8.98,5.6,6.4,19,0,2.91,0,2,2.24,0
937,57,2,0,33,3.48,1.6,6.95,4.18,6.8,2.1,17,0,3.11,0,5,4.06,0
938,25,0,2,54,8.78,1.4,8.93,2.19,6.0,8.6,69,0,3.94,0,0,2.81,1
939,26,3,3,45,6.47,8.4,1.63,2.42,5.3,8.7,48,1,3.54,0,2,1.22,0
940,58,2,3,42,1.0,8.53,3.66,7.31,8.6,3.2,75,1,6.31,0,3,2.37,0
941,29,2,2,49,8.25,7.54,7.23,8.84,8.7,5.5,16,0,8.97,0,4,8.95,1
942,49,2,2,48,3.97,4.17,1.31,6.77,6.1,6.1,52,1,6.73,1,2,1.11,0
943,52,0,4,34,3.88,8.39,2.83,9.36,6.0,4.7,21,1,3.17,0,7,7.96,0
944,30,3,2,52,4.45,5.86,2.97,8.58,5.5,9.1,81,1,8.77,0,4,7.78,0
945,50,3,5,34,6.67,3.74,7.02,1.08,8.3,7.4,9,0,6.69,0,6,6.08,0
946,35,3,2,49,4.98,4.94,3.57,7.02,6.8,6.7,23,1,2.97,0,4,2.88,0
947,43,3,5,53,6.66,1.59,6.4,3.74,4.4,5.2,83,1,4.25,1,7,8.9,0
948,32,1,2,33,2.32,9.5,9.69,5.09,8.3,0.8,11,1,8.11,0,0,5.28,0
949,44,1,4,31,9.73,6.57,8.14,1.85,6.7,1.1,3,0,7.65,0,2,2.56,1
950,22,3,5,55,7.57,7.58,4.0,3.54,6.1,3.0,41,1,6.19,0,2,4.86,1
951,58,0,6,42,3.25,7.09,5.25,6.69,5.7,2.1,4,0,2.3,0,9,2.75,0
952,42,1,5,59,7.52,7.01,2.81,2.97,4.5,9.5,25,1,8.23,0,9,4.38,1
953,47,2,1,45,6.18,1.16,1.14,6.83,8.8,4.1,99,1,3.77,1,2,5.47,0
954,57,1,4,51,1.98,5.73,3.61,9.31,7.7,8.8,58,0,7.94,0,5,4.24,0
955,44,2,0,31,2.6,8.4,4.32,1.04,4.7,8.2,61,0,6.83,0,8,6.91,0
956,22,3,5,48,1.37,1.4,6.08,8.07,6.6,8.1,79,0,3.38,0,5,9.42,0
957,36,1,1,46,8.28,9.61,9.5,6.77,6.8,2.2,4,1,2.91,1,4,4.13,1
958,42,0,1,34,5.97,4.82,9.53,1.42,4.8,4.5,25,0,2.18,1,0,4.2,0
959,30,1,1,54,3.85,3.61,1.63,8.11,6.1,3.2,82,0,3.18,1,1,7.64,0
960,30,1,2,47,2.14,5.79,6.53,3.02,7.2,9.7,119,0,2.42,1,0,5.78,0
961,31,1,1,57,5.36,8.21,1.38,3.39,5.4,8.8,5,1,6.55,0,5,4.86,0
962,47,3,2,52,5.73,5.27,6.83,1.84,5.7,2.5,23,0,6.39,0,2,8.32,0
963,56,0,0,50,7.32,6.81,2.06,5.81,4.6,3.1,94,1,6.28,1,4,9.02,1
964,46,1,4,47,9.73,5.5,9.52,5.48,6.1,5.3,94,1,6.78,1,5,6.32,1
965,47,0,3,37,4.91,6.68,8.78,4.12,6.9,2.8,52,1,8.33,0,4,2.67,0
966,32,3,2,56,4.65,2.24,1.2,2.52,4.6,8.2,6,0,9.22,1,2,5.2,0
967,59,2,1,44,4.33,1.35,8.04,8.54,7.1,8.2,9,0,3.07,0,1,5.54,0
968,23,1,1,42,8.44,2.23,6.72,8.89,6.0,7.2,38,0,6.29,1,1,4.89,1
969,28,0,6,42,2.41,3.57,5.46,5.87,7.4,6.9,85,0,1.71,1,1,3.36,0
970,39,0,1,45,4.09,3.28,6.42,3.2,5.6,5.5,77,1,2.08,1,9,5.25,0
971,48,3,4,51,7.52,6.54,7.1,1.86,6.8,3.5,27,0,6.89,1,3,5.02,1
972,55,1,5,49,1.14,5.1,8.96,8.82,7.1,8.4,41,0,5.38,1,3,2.89,0
973,48,2,5,42,3.6,1.35,7.91,1.86,7.5,8.6,61,1,7.82,1,2,9.13,0
974,38,0,1,49,6.77,1.31,6.18,1.12,7.8,0.5,51,0,4.83,0,7,8.97,0
975,45,1,6,31,2.67,1.82,8.42,5.22,4.7,4.0,21,1,2.15,0,3,7.84,0
976,46,2,2,32,3.72,4.18,9.88,7.58,8.8,0.3,56,1,8.85,0,7,4.61,0
977,28,0,4,44,5.37,1.06,3.7,5.12,8.2,8.4,95,0,1.75,0,2,4.33,0
978,27,0,6,52,4.8,5.45,2.07,1.46,6.8,1.8,10,1,2.7,1,1,7.45,0
979,45,2,2,48,1.95,4.25,7.58,7.21,8.5,6.7,13,1,3.49,0,7,6.47,0
980,54,2,4,42,9.44,6.0,9.81,6.78,5.9,3.6,30,1,9.96,1,5,6.41,1
981,50,3,1,34,1.4,7.49,2.05,7.13,4.2,8.2,107,0,4.75,1,1,2.12,0
982,43,1,5,55,7.75,3.26,4.89,2.9,7.6,5.1,3,0,5.52,1,6,6.56,1
983,47,1,4,51,1.64,2.41,1.56,8.16,8.7,3.2,108,0,7.93,0,9,9.12,0
984,49,3,1,35,5.21,3.5,7.99,5.31,4.8,3.2,21,1,6.73,1,6,1.77,0
985,42,0,0,43,2.58,1.02,9.54,5.83,7.2,3.3,117,0,8.57,1,3,4.05,0
986,28,2,3,33,2.27,2.08,5.49,5.91,8.1,7.9,92,0,5.38,1,7,5.58,0
987,38,2,4,51,2.13,7.76,4.69,3.58,8.5,7.1,98,1,9.75,1,2,7.17,0
988,41,2,3,48,5.08,3.01,9.17,3.25,5.4,3.2,63,0,8.17,0,8,1.81,0
989,41,0,4,52,5.64,9.95,2.2,1.04,4.6,4.9,76,0,4.61,1,4,8.86,0
990,43,2,3,36,2.2,2.51,9.02,4.57,5.2,0.8,83,1,4.43,0,2,1.36,0
991,49,2,0,33,9.81,8.1,4.53,5.37,6.9,8.3,82,0,9.37,1,8,8.72,1
992,28,3,5,31,3.32,7.35,6.03,7.69,8.6,2.7,78,1,7.16,0,1,1.25,0
993,22,0,2,56,5.13,3.9,5.75,1.6,6.9,8.9,114,0,6.59,0,1,2.38,0
994,53,1,3,36,2.95,3.98,6.54,9.32,8.6,6.0,89,0,7.82,0,2,8.2,0
995,34,3,0,32,5.45,6.07,9.48,3.38,7.9,5.7,83,0,6.05,0,8,8.74,0
996,51,3,3,44,7.8,8.67,9.56,4.3,7.0,1.6,60,1,2.43,0,9,9.84,1
997,44,1,5,30,5.69,4.48,8.48,1.44,4.1,0.7,99,0,3.87,0,2,2.04,0
998,40,3,3,31,3.57,1.55,2.72,6.88,5.7,5.5,5,0,6.02,0,4,5.74,0
999,53,0,0,39,3.24,4.37,4.0,7.38,4.3,4.7,78,1,1.16,1,8,1.69,0
1000,51,2,1,45,7.83,2.87,5.39,9.36,5.6,1.2,67,0,4.94,1,9,2.41,1
1001,50,0,0,54,2.06,9.45,9.15,4.03,4.3,8.4,5,1,7.8,0,5,2.57,0
1002,50,1,6,57,4.33,7.28,5.69,3.32,4.8,4.2,65,0,2.48,0,5,1.57,0
1003,51,1,5,44,2.36,1.46,9.8,7.53,6.1,2.6,35,0,1.58,0,0,9.04,0
1004,37,3,1,53,3.32,3.64,9.85,7.36,6.6,7.9,113,0,8.52,1,1,2.14,0
1005,40,0,6,44,2.37,1.45,6.39,9.43,5.1,9.1,14,0,6.56,1,8,6.66,0
1006,39,0,5,43,8.98,8.47,8.9,2.85,7.7,3.1,75,0,2.59,1,7,6.63,1
1007,22,1,1,51,7.59,9.16,9.99,7.35,7.0,7.8,39,0,8.26,0,1,2.79,1
1008,35,0,3,43,6.05,2.01,8.65,1.6,7.5,6.5,107,1,6.92,0,4,9.99,0
1009,23,1,1,35,3.02,4.96,6.91,5.32,7.7,9.9,40,0,4.01,0,4,4.13,0
1010,49,0,0,43,5.59,9.39,8.61,2.07,7.6,2.0,6,1,4.39,1,5,9.15,0
1011,51,0,6,46,5.69,2.31,1.74,6.88,8.7,9.6,21,0,2.4,0,3,9.53,0
